ID,Label,Code,City,lat,long,ToFly,Visits
1,Luapula,75,Mulwe,-9.453264444,28.74366545,0,4
12,Luapula,77,Kapata,-11.61153237,29.75106343,1,5
13,Luapula,65,Nsalushi,-11.59833384,30.2422444,0,13
14,Luapula,65,Nsalushi,-11.59833,30.24224,0,13
15,Luapula,65,Nsalushi,-11.59833,30.24224,1,13
16,Luapula,65,Nsalushi,-11.59833,30.24224,0,13
17,Northern,128,Nsunzu,-8.83122139,31.41841209,0,5
18,Northern,128,Nsunzu,-8.83122139,31.41841209,1,5
2,Luapula,75,Mulwe,-9.453264444,28.74366545,0,4
23,Northern,132,Mungwi,-10.07977176,31.44581978,0,1
24,Northern,127,Katilye,-10.70694317,29.62850487,1,1
25,Northern,130,Chimpolenge,-9.479859,30.09144,0,2
28,Northern,124,Ndela,-10.95629757,30.12310149,0,4
4,Luapula,59,Lambwe Chomba,-8.424054066,29.5699815,1,7
5,Luapula,59,Lambwe Chomba,-8.424054066,29.5699815,0,7
9,Luapula,70,Lufubu,-9.852027,28.76371,0,17
5024006,Luapula,76,Mano,-11.4675,29.47389,1,10
5024011,Luapula,78,Masonde,-10.97421013,29.56184335,0,13
5024051,Luapula,78,Masonde,-10.97421013,29.56184335,0,13
5024054,Luapula,78,Masonde,-10.97421,29.56184,1,13
5024055,Luapula,78,Masonde,-10.97421,29.56184,0,13
5024069,Luapula,69,Fibalala,-11.76339298,29.51335587,0,5
5024083,Luapula,76,Mano,-11.4675,29.47389,1,10
5024086,Luapula,76,Mano,-11.4675,29.47389,0,10
5024096,Luapula,69,Fibalala,-11.76339,29.51336,0,5
5024165,Western,170,Lulangunyi,-15.22028507,22.10517426,1,12
5024171,Western,170,Lulangunyi,-15.22028507,22.10517426,0,12
5024173,Western,170,Lulangunyi,-15.22029,22.10517,0,12
5024179,Western,170,Lulangunyi,-15.22028507,22.10517426,1,12
5024226,Luapula,70,Lufubu,-9.852027,28.76371,0,17
5024252,Luapula,57,Chilongo,-9.335287,28.73949,0,8
5024264,Luapula,74,Chilongo,-9.300878,28.75014,0,4
5024376,Eastern,39,Wachitangachi,-12.33884,32.94817,1,4
5024414,Luapula,62,Nalupembe,-10.79827,29.13899,0,2
5024442,Luapula,63,Fisaka,-9.908447113,29.27683594,0,1
5024461,Western,170,Lulangunyi,-15.22028507,22.10517426,1,12
5024467,Western,170,Lulangunyi,-15.22028507,22.10517426,0,12
5024473,Western,170,Lulangunyi,-15.22029,22.10517,0,12
5024475,Western,170,Lulangunyi,-15.22028507,22.10517426,1,12
5024500,North-Western,116,Chibwika,-12.16997,24.28145,0,6
5024535,Eastern,39,Wachitangachi,-12.33884,32.94817,0,4
5024549,Eastern,38,Chaboli,-12.24143,33.3004,1,1
5024591,North-Western,115,Kanongesha,-11.74982,24.41503,0,3
5024591,North-Western,115,Kanongesha,-11.74982,24.41503,0,3
5024673,Luapula,69,Fibalala,-11.76339,29.51336,1,5
5024706,Luapula,65,Nsalushi,-11.59833,30.24224,0,13
5024711,Luapula,65,Nsalushi,-11.59833,30.24224,0,13
5024719,Luapula,57,Chilongo,-9.335287,28.73949,1,8
5024818,Luapula,68,Lwingishi,-11.27659,29.2516,0,7
5024820,Luapula,68,Lwingishi,-11.27659,29.2516,0,7
5024833,Luapula,65,Nsalushi,-11.59833,30.24224,1,13
5024884,Muchinga,98,Chisunga,-10.58107,33.05779,0,1
5024981,Luapula,56,Kalanga,-10.3885,28.69254,0,3
5024992,Luapula,56,Kalanga,-10.3885,28.69254,1,3
5025065,North-Western,117,Kangwena,-12.30446,26.9923,0,4
5025076,North-Western,117,Kangwena,-12.30446,26.9923,0,4
5025117,Luapula,60,Chipamba,-8.921298,29.07523,1,9
5025118,Luapula,60,Chipamba,-8.921298,29.07523,0,9
5025125,Luapula,61,Munwa,-9.012801,29.04298,0,5
5025257,Luapula,70,Lufubu,-9.852027,28.76371,1,17
5025261,Luapula,70,Lufubu,-9.852027,28.76371,0,17
5025262,Luapula,70,Lufubu,-9.852027,28.76371,0,17
5025263,Luapula,70,Lufubu,-9.852027,28.76371,0,17
5025398,Luapula,72,Luche,-10.16529,28.635,1,1
5025499,Luapula,71,Kasengu,-10.371,28.6923,0,2
5025654,Muchinga,100,Lubwa,-10.5311,31.72679,0,4
5025684,Northern,124,Ndela,-10.9563,30.1231,1,4
5025782,Muchinga,104,Mukungwa,-11.50499,31.30753,0,2
5025909,Luapula,77,Kapata,-11.61153,29.75106,0,5
5025941,Muchinga,102,Kakoma,-10.41618,33.32794,1,3
5025942,Muchinga,102,Kakoma,-10.41618,33.32794,0,3
5025954,Luapula,78,Masonde,-10.97421,29.56184,0,13
5025973,Muchinga,103,Munikashi,-11.7288,30.79669,1,3
5026031,Luapula,76,Mano,-11.4675,29.47389,0,10
5026032,Luapula,76,Mano,-11.4675,29.47389,0,10
5026054,Northern,126,Lualuo,-10.28437,31.14926,1,4
5026054,Northern,126,Lualuo,-10.28437,31.14926,0,4
5026133,Luapula,70,Lufubu,-9.852027,28.76371,0,17
5026134,Luapula,70,Lufubu,-9.852027,28.76371,1,17
5026206,Eastern,47,Luangwa,-14.12301,30.30875,0,7
5026240,Luapula,73,Mwatishi,-9.168586,28.85296,0,4
5026311,Luapula,60,Chipamba,-8.921298,29.07523,1,9
5026316,Eastern,47,Luangwa,-14.12301,30.30875,0,7
5026399,Western,165,Naluywa,-16.04441,23.5222,0,4
5026433,Luapula,61,Munwa,-9.012801,29.04298,1,5
5026438,Luapula,61,Munwa,-9.012801,29.04298,0,5
5026443,Luapula,70,Lufubu,-9.852027,28.76371,0,17
5026578,Northern,126,Lualuo,-10.28437,31.14926,1,4
5026718,Copperbelt,23,Mishikishi,-13.35111,28.66691,0,4
5026814,Copperbelt,22,Chondwe,-13.13255,28.77162,0,2
5026871,Eastern,47,Luangwa,-14.12301,30.30875,1,7